token_id,Background,Body,Clothing,Face,Hat
0,Rustic Romance,Ghost,Zane Grey,N/A,Duelist's Dome
10,Desert Oasis,Human,Citybound,N/A,Prairie Pioneer
1000,Red Rock Trail,Human,Emerald Ink,N/A,Duelist's Dome
1001,Tumbleweed Dreams,Human,Cold Ambush,N/A,Cattleman's Crown
1003,Desert Oasis,Human,Lowdown,N/A,Tombstone Top
1005,Breathtaking Bluffs,Human,Big Bad,Garibaldi,Outlaw Opera
1007,Frontier Freedom,Human,Lasso Lou,N/A,Duelist's Dome
1009,Rustic Plateaus,Ghost,Scruffy,N/A,Prairie Pioneer
1010,Breathtaking Bluffs,Human,Lowdown,N/A,Cattleman's Crest
1012,Rustic Plateaus,Human,Cold Ambush,N/A,Hangman's Hat
1014,Wild Frontier,Human,Trigger Happy,Chin Beard,Hangman's Hat
1016,Westward Plains,Human,Panhandle,N/A,The Herdsman
1018,Endless Vistas,Human,Outbound,N/A,High Noon Hoot
102,Rustic Romance,Human,Big Bad,N/A,Drover
1021,Westward Plains,Human,Cold Ambush,Farmers Gum,Lakota Lid
1023,Frontier Freedom,Human,Pearly Snap,Curtain,The Buckaroo
1025,Prairie Dreams,Human,Panhandle,N/A,Maverick Masterpiece
1027,Tumbleweed Dreams,Human,Jefe,N/A,Dusty Diva
1029,Tumbleweed Dreams,Human,Zane Grey,Farmers Gum,Lone Star Legend
1030,Tumbleweed Dreams,Human,The Fletcher,Stogie,Stagecoach Stalker
1032,Frontier Freedom,Human,Dusty Roper,N/A,Stagecoach Stalker
1034,Hidden Oasis,Human,Ace,Full Goatee,The Buckaroo
1036,Tombstone,Human,Ace,N/A,Bounty Hunter's Brim
1038,Rustic Romance,Human,Aztec,N/A,Sheriff's Stetson
104,Prairie Dreams,Human,Flyboy Fly,N/A,Lawman's Lid
